config_idx,hidden_dim,dropout_rate,learning_rate,batch_size,epochs,use_class_weights,train_loss,val_loss,val_cost,threshold,test_cost,test_precision,test_recall,test_pr_auc,test_fp,test_fn,test_tp,test_tn,savings
37,128,0.2,0.0001,32,50,True,0.001763509237879222,0.003819346357618047,6820,0.4899999999999998,5940,0.9186046511627907,0.8061224489795918,0.8701876370414074,7,19,79,56857,4840
38,128,0.2,0.0001,64,50,True,0.0016486017393389243,0.00397416325301269,6270,0.8499999999999996,4840,0.9696969696969697,0.6530612244897959,0.8651454258560858,2,34,64,56862,5940
39,128,0.2,0.0001,128,50,True,0.0017356103652982039,0.004044778247563388,8470,0.8399999999999996,6050,0.9402985074626866,0.6428571428571429,0.8489666694740023,4,35,63,56860,4730
40,128,0.2,0.001,32,50,True,0.001717801973095449,0.005790552374508677,6710,0.8299999999999996,4070,0.9850746268656716,0.673469387755102,0.8438966982146946,1,32,66,56863,6710
41,128,0.2,0.001,64,50,True,0.0016430025434230472,0.004930107425185173,5610,0.7199999999999998,4620,0.9838709677419355,0.6224489795918368,0.8572114552087794,1,37,61,56863,6160
42,128,0.2,0.001,128,50,True,0.0013850463009442812,0.006078443292394343,5830,0.7599999999999997,4400,0.984375,0.6428571428571429,0.8569165982222259,1,35,63,56863,6380
43,128,0.2,0.01,32,50,True,0.17258978021215415,0.1712818044493873,13530,0.1,10780,0.0,0.0,0.0008759055657561167,0,98,0,56864,0
44,128,0.2,0.01,64,50,True,0.1721595684331644,0.1706772135608682,13530,0.1,10780,0.0,0.0,0.000913080346740377,0,98,0,56864,0
45,128,0.2,0.01,128,50,True,0.01025647756362786,0.04850307626118331,12210,0.8299999999999996,13750,0.7849462365591398,0.7448979591836735,0.6603766734480897,20,25,73,56844,-2970
46,128,0.3,0.0001,32,50,True,0.0018758871350275307,0.0038631321984588986,6380,0.7799999999999997,5720,0.9342105263157895,0.7244897959183674,0.8661078529754234,5,27,71,56859,5060
47,128,0.3,0.0001,64,50,True,0.0016372562024382753,0.0040472895993864414,5610,0.7199999999999998,5280,0.9375,0.7653061224489796,0.8641014000510296,5,23,75,56859,5500
48,128,0.3,0.0001,128,50,True,0.0022082872554741026,0.004165584786270388,10010,0.7199999999999998,9460,0.8571428571428571,0.7346938775510204,0.8082139598874768,12,26,72,56852,1320
49,128,0.3,0.001,32,50,True,0.0021343705586348767,0.004825726836432279,6930,0.8899999999999996,6050,0.9508196721311475,0.5918367346938775,0.8417789254521008,3,40,58,56861,4730
50,128,0.3,0.001,64,50,True,0.0017866510104471954,0.0060790013521660555,5940,0.8299999999999996,3850,1.0,0.6428571428571429,0.8644352151113274,0,35,63,56864,6930
51,128,0.3,0.001,128,50,True,0.001702437300640332,0.00487298760229783,5500,0.8199999999999996,4620,0.9838709677419355,0.6224489795918368,0.8579177598813081,1,37,61,56863,6160
52,128,0.3,0.01,32,50,True,0.17233132198550455,0.17132045492650833,13530,0.1,10780,0.0,0.0,0.0008920829033467247,0,98,0,56864,0
53,128,0.3,0.01,64,50,True,0.17231395799340204,0.17126004778465886,13530,0.1,10780,0.0,0.0,0.000958488171622444,0,98,0,56864,0
54,128,0.3,0.01,128,50,True,0.17180541997548712,0.17251375868649887,13530,0.1,10780,0.0,0.0,0.0014451860138631409,0,98,0,56864,0
55,256,0.1,0.0001,32,50,True,0.0013993430855868373,0.0048856201815069425,6930,0.8699999999999997,4510,0.9841269841269841,0.6326530612244898,0.8710045853544957,1,36,62,56863,6270
56,256,0.1,0.0001,64,50,True,0.0013204638524626305,0.004434107284217936,6380,0.8299999999999996,3960,1.0,0.6326530612244898,0.8728514754270612,0,36,62,56864,6820
57,256,0.1,0.0001,128,50,True,0.001452207895503796,0.003980829959529016,5720,0.8199999999999996,4840,0.9583333333333334,0.7040816326530612,0.8667984891287998,3,29,69,56861,5940
58,256,0.1,0.001,32,50,True,0.001858911292219967,0.005929999017458179,10780,0.8899999999999996,10340,0.8414634146341463,0.7040816326530612,0.8123970536474036,13,29,69,56851,440
59,256,0.1,0.001,64,50,True,0.0016328473301813456,0.008078965833575726,9900,0.6499999999999997,11770,0.8172043010752689,0.7755102040816326,0.7946643445075847,17,22,76,56847,-990
60,256,0.1,0.001,128,50,True,0.001396033761129325,0.006491637278934671,6710,0.8299999999999996,5830,0.9803921568627451,0.5102040816326531,0.8468848077919714,1,48,50,56863,4950
61,256,0.1,0.01,32,50,True,0.17300485818070388,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.0008602226045433798,0,98,0,56864,0
62,256,0.1,0.01,64,50,True,0.17176385386540033,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.00238455336746499,0,98,0,56864,0
63,256,0.1,0.01,128,50,True,0.17234482315233923,0.17274795651807534,13530,0.1,10780,0.0,0.0,0.012937267745189189,0,98,0,56864,0
64,256,0.2,0.0001,32,50,True,0.0015565230147522484,0.004448396761543872,6380,0.6599999999999997,6270,0.9156626506024096,0.7755102040816326,0.8678535678213027,7,22,76,56857,4510
65,256,0.2,0.0001,64,50,True,0.0015824068723251014,0.0044944707588599414,5720,0.8099999999999996,4950,0.9577464788732394,0.6938775510204082,0.867581414009749,3,30,68,56861,5830
66,256,0.2,0.0001,128,50,True,0.0017302550458051778,0.004215088140223295,8360,0.8199999999999996,6380,0.9482758620689655,0.5612244897959183,0.8459828038661344,3,43,55,56861,4400
67,256,0.2,0.001,32,50,True,0.0019402023682792268,0.005271816681838534,8250,0.8899999999999996,6710,0.9253731343283582,0.6326530612244898,0.8364448675762961,5,36,62,56859,4070
