config_idx,hidden_dim,latent_dim,beta,learning_rate,epochs,batch_size,train_loss,val_loss,val_cost,threshold,test_cost,test_precision,test_recall,test_pr_auc,test_fp,test_fn,test_tp,test_tn
15,64,32,1.0,0.001,100,256,11.844038054423295,11.802325325783022,22660,6.543542560609743,23980,0.90625,0.23577235772357724,0.5289530729450701,6,188,58,56857
16,64,32,1.0,0.0001,100,256,12.586583993431399,12.527147486062994,21010,5.27353341298679,20240,0.9272727272727272,0.4146341463414634,0.7084649157555993,8,144,102,56855
17,64,32,2.0,0.001,100,256,16.60218745586294,16.55770997836906,31900,13.011310348681446,30140,0.75,0.17073170731707318,0.44268683278351095,14,204,42,56849
18,64,32,2.0,0.0001,100,256,19.582558620598615,19.518650088809945,24640,63.757991500906755,26510,0.8490566037735849,0.18292682926829268,0.5126749416667368,8,201,45,56855
19,128,8,0.5,0.001,100,256,7.462018671195598,7.486041010850641,21010,3.10969220543826,20460,0.9259259259259259,0.4065040650406504,0.6901232748153824,8,146,100,56855
20,128,8,0.5,0.0001,100,256,8.368295791730004,8.357531479169232,21340,5.382144107916619,21450,0.9824561403508771,0.22764227642276422,0.602909494504656,1,190,56,56862
21,128,8,1.0,0.001,100,256,11.269071554079495,11.242768803967431,20680,5.35158288574633,21010,0.9836065573770492,0.24390243902439024,0.6315977269473794,1,186,60,56862
22,128,8,1.0,0.0001,100,256,11.848229126565485,11.833666004255843,21340,5.374152252264887,20900,0.9705882352941176,0.2682926829268293,0.5983888732552956,2,180,66,56861
23,128,8,2.0,0.001,100,256,15.502504632158653,15.475105736594974,21340,6.631362693854663,22330,0.9508196721311475,0.23577235772357724,0.4405546924799494,3,188,58,56860
24,128,8,2.0,0.0001,100,256,16.069213515837042,16.059570810544642,20350,4.675014091507463,20130,0.9230769230769231,0.43902439024390244,0.6059168901766011,9,138,108,56854
25,128,16,0.5,0.001,100,256,7.463523251895364,7.428353015141656,19030,1.9428380708779047,18700,0.9528301886792453,0.4105691056910569,0.6799794349439094,5,145,101,56858
26,128,16,0.5,0.0001,100,256,7.898625906137843,7.907272743260116,22660,2.119450456628789,22770,0.9607843137254902,0.1991869918699187,0.5992689152380545,2,197,49,56861
27,128,16,1.0,0.001,100,256,11.162221665461741,11.149950319188225,21340,5.905060041431744,20900,0.9838709677419355,0.24796747967479674,0.6373675337045305,1,185,61,56862
28,128,16,1.0,0.0001,100,256,11.793908361308558,11.792219896945289,16390,2.914386428864932,16720,0.9661016949152542,0.4634146341463415,0.6524006553576469,4,132,114,56859
29,128,16,2.0,0.001,100,256,16.30754912927027,16.447910987812815,25300,19.368837066733885,24310,0.9016393442622951,0.22357723577235772,0.5833489360741222,6,191,55,56857
30,128,16,2.0,0.0001,100,256,16.206911933960242,16.192161423069482,22000,12.0780393524682,22660,0.9482758620689655,0.22357723577235772,0.7122413207323727,3,191,55,56860
31,128,32,0.5,0.001,100,256,7.380904266998046,7.370179752211455,17050,1.9051101245909317,17270,0.9719626168224299,0.42276422764227645,0.7468080336801926,3,142,104,56860
32,128,32,0.5,0.0001,100,256,7.9335001283409525,7.9253380933119955,18370,1.6966682558136823,17600,0.9568965517241379,0.45121951219512196,0.7095176324792783,5,135,111,56858
33,128,32,1.0,0.001,100,256,11.17290129969959,11.178860814589452,20680,4.9641739826504665,21780,0.9666666666666667,0.23577235772357724,0.6128347810328344,2,188,58,56861
34,128,32,1.0,0.0001,100,256,11.829826276132344,11.790332685577617,18370,2.531521553043034,18810,0.9401709401709402,0.44715447154471544,0.651930745555236,7,136,110,56856
35,128,32,2.0,0.001,100,256,16.14465718731429,16.14186399767863,22000,10.342685943764767,24750,0.8888888888888888,0.22764227642276422,0.5573672603412412,7,190,56,56856
36,128,32,2.0,0.0001,100,256,16.76315734622488,16.671117422577073,20350,13.758532508856378,19580,0.9262295081967213,0.45934959349593496,0.7629137000405175,9,133,113,56854
